,"28-feb-2018"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","14.06","17.34","336,238,294.00","5,830,372,017.96","5,830,372,017.96","Telecomunicaciones","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","12.97","174.52","30,801,589.00","5,375,493,312.28","5,375,493,312.28","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","9.57","113.16","35,050,687.00","3,966,335,740.92","3,966,335,740.92","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","7.81","64.35","50,333,451.00","3,238,957,571.85","3,238,957,571.85","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","7.63","44.00","71,849,974.00","3,161,398,856.00","3,161,398,856.00","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","6.36","12.45","211,895,348.00","2,638,097,082.60","2,638,097,082.60","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","5.53","64.51","35,557,781.00","2,293,832,452.31","2,293,832,452.31","Consumo discrecional","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","2.73","22.39","50,517,054.00","1,131,076,839.06","1,131,076,839.06","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO O","Equity","2.49","182.12","5,674,207.00","1,033,386,578.84","1,033,386,578.84","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.40","334.03","2,972,620.00","992,944,258.60","992,944,258.60","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFL","COCA-COLA FEMSA CLASS L","Equity","2.29","127.00","7,484,008.00","950,469,016.00","950,469,016.00","Productos básicos de consumo","2141899","MXP2861W1067","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEXCHEM*","MEXICHEM SA DE CV","Equity","1.89","52.84","14,810,642.00","782,594,323.28","782,594,323.28","Materiales","2434760","MX01ME050007","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","1.84","44.11","17,276,168.00","762,051,770.48","762,051,770.48","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.80","130.84","5,700,436.00","745,845,046.24","745,845,046.24","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.70","34.35","20,511,078.00","704,555,529.30","704,555,529.30","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O O","Equity","1.69","30.12","23,308,838.00","702,062,200.56","702,062,200.56","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Equity","1.65","89.30","7,667,611.00","684,717,662.30","684,717,662.30","Servicios","B84XBP2","MX01IE060002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
