,"31-ene-2019"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","13.14","15.31","448,427,248.00","6,865,421,166.88","6,865,421,166.88","Comunicación","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","11.89","173.97","35,711,552.00","6,212,738,701.44","6,212,738,701.44","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","11.25","106.16","55,398,080.00","5,881,060,172.80","5,881,060,172.80","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","9.02","50.20","93,927,088.00","4,715,139,817.60","4,715,139,817.60","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","6.03","45.79","68,795,856.00","3,150,162,246.24","3,150,162,246.24","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","5.75","10.33","290,804,256.00","3,004,007,964.48","3,004,007,964.48","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","3.85","47.81","42,035,968.00","2,009,739,630.08","2,009,739,630.08","Comunicación","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","2.68","24.07","58,274,976.00","1,402,678,672.32","1,402,678,672.32","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","2.61","37.81","36,139,520.00","1,366,435,251.20","1,366,435,251.20","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.57","345.93","3,875,488.00","1,340,647,563.84","1,340,647,563.84","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO","Equity","2.32","171.63","7,049,584.00","1,209,920,101.92","1,209,920,101.92","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFL","COCA-COLA FEMSA CLASS L","Equity","2.31","119.50","10,081,024.00","1,204,682,368.00","1,204,682,368.00","Productos básicos de consumo","2141899","MXP2861W1067","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O","Equity","2.30","27.70","43,403,088.00","1,202,265,537.60","1,202,265,537.60","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","2.14","1,036.66","1,077,035.00","1,116,519,103.10","1,116,519,103.10","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEXCHEM*","MEXICHEM SA DE CV","Equity","1.89","51.08","19,365,552.00","989,192,396.16","989,192,396.16","Materiales","2434760","MX01ME050007","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","1.79","28.63","32,608,784.00","933,589,485.92","933,589,485.92","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.75","232.97","3,923,040.00","913,950,628.80","913,950,628.80","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.66","31.92","27,128,416.00","865,939,038.72","865,939,038.72","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.59","111.22","7,453,776.00","829,008,966.72","829,008,966.72","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.58","195.12","4,232,128.00","825,772,815.36","825,772,815.36","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Equity","1.44","75.09","10,021,584.00","752,520,742.56","752,520,742.56","Servicios","B84XBP2","MX01IE060002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.35","106.40","6,621,616.00","704,539,942.40","704,539,942.40","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.18","261.05","2,365,712.00","617,569,117.60","617,569,117.60","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","1.02","52.92","10,116,688.00","535,375,128.96","535,375,128.96","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","1.01","39.88","13,278,896.00","529,562,372.48","529,562,372.48","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.95","85.98","5,765,680.00","495,733,166.40","495,733,166.40","Comunicación","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.91","125.22","3,792,272.00","474,868,299.84","474,868,299.84","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.62","105.02","3,078,992.00","323,355,739.84","323,355,739.84","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMXT*","GMEXICO TRANSPORTES SAB DE CV SA","Equity","0.60","26.72","11,816,672.00","315,741,475.84","315,741,475.84","Industriales","BFLXFS5","MX01GM1Z0019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LALAB","GRUPO LALA","Equity","0.53","23.22","11,923,664.00","276,867,478.08","276,867,478.08","Productos básicos de consumo","BFNXZM7","MX01LA040003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.51","13.95","19,246,672.00","268,491,074.40","268,491,074.40","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
