,"31-may-2018"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"AMXL","AMERICA MOVIL L","Equity","13.27","15.50","476,014,737.00","7,378,228,423.50","7,378,228,423.50","Telecomunicaciones","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","13.03","166.25","43,584,142.00","7,245,863,607.50","7,245,863,607.50","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","9.47","106.20","49,587,194.00","5,266,160,002.80","5,266,160,002.80","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","9.15","50.06","101,642,585.00","5,088,227,805.10","5,088,227,805.10","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","6.40","11.86","299,768,107.00","3,555,249,749.02","3,555,249,749.02","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","6.34","49.52","71,205,623.00","3,526,102,450.96","3,526,102,450.96","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","6.03","66.60","50,294,165.00","3,349,591,389.00","3,349,591,389.00","Consumo discrecional","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","2.63","20.48","71,466,086.00","1,463,625,441.28","1,463,625,441.28","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO O","Equity","2.45","169.94","8,024,741.00","1,363,724,485.54","1,363,724,485.54","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.40","316.66","4,204,617.00","1,331,434,019.22","1,331,434,019.22","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFL","COCA-COLA FEMSA CLASS L","Equity","2.23","116.87","10,592,162.00","1,237,905,972.94","1,237,905,972.94","Productos básicos de consumo","2141899","MXP2861W1067","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEXCHEM*","MEXICHEM SA DE CV","Equity","2.12","56.19","20,961,070.00","1,177,802,523.30","1,177,802,523.30","Materiales","2434760","MX01ME050007","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.74","119.68","8,074,353.00","966,338,567.04","966,338,567.04","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.73","33.19","29,023,020.00","963,274,033.80","963,274,033.80","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","1.67","38.06","24,446,313.00","930,426,672.78","930,426,672.78","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O O","Equity","1.67","28.17","32,942,368.00","927,986,506.56","927,986,506.56","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","1.65","26.10","35,224,520.00","919,359,972.00","919,359,972.00","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Equity","1.63","83.34","10,840,222.00","903,424,101.48","903,424,101.48","Servicios","B84XBP2","MX01IE060002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.62","209.15","4,316,244.00","902,742,432.60","902,742,432.60","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.43","179.30","4,427,871.00","793,917,270.30","793,917,270.30","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","1.16","509.90","1,265,106.00","645,077,549.40","645,077,549.40","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.12","95.38","6,511,575.00","621,074,023.50","621,074,023.50","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","1.10","336.88","1,823,241.00","614,213,428.08","614,213,428.08","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","1.00","65.41","8,483,652.00","554,915,677.32","554,915,677.32","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEGACPO","MEGACABLE HOLDINGS CPO","Equity","0.94","85.00","6,164,291.00","523,964,735.00","523,964,735.00","Consumo discrecional","B292SM8","MX01ME090003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","0.90","62.17","8,061,950.00","501,211,431.50","501,211,431.50","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.80","113.11","3,944,154.00","446,123,258.94","446,123,258.94","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.66","32.36","11,398,357.00","368,850,832.52","368,850,832.52","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMXT*","GMEXICO TRANSPORTES SAB DE CV SA","Equity","0.63","27.41","12,787,493.00","350,505,183.13","350,505,183.13","Industriales","BFLXFS5","MX01GM1Z0019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.58","100.00","322,091,397.00","322,091,396.98","322,091,396.98","Liquidez","-","-","-","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.55","15.07","20,440,144.00","308,032,970.08","308,032,970.08","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.45","111.13","2,244,943.00","249,480,515.59","249,480,515.59","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
