,"31-jul-2018"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"FEMSAUBD","FOMENTO ECONOMICO MEXICANO","Equity","12.90","182.84","47,424,135.00","8,671,028,843.40","8,671,028,843.40","Productos básicos de consumo","2242059","MXP320321310","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AMXL","AMERICA MOVIL L","Equity","12.31","15.97","518,002,920.00","8,272,506,632.40","8,272,506,632.40","Telecomunicaciones","2667470","MXP001691213","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFNORTEO","GPO FINANCE BANORTE","Equity","10.59","129.96","54,789,810.00","7,120,483,707.60","7,120,483,707.60","Financieros","2421041","MXP370711014","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"WALMEX*","WALMART DE MEXICO V","Equity","8.95","54.43","110,593,245.00","6,019,590,325.35","6,019,590,325.35","Productos básicos de consumo","BW1YVH8","MX01WA000038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GMEXICOB","GRUPO MEXICO B","Equity","6.75","58.60","77,481,495.00","4,540,415,607.00","4,540,415,607.00","Materiales","2643674","MXP370841019","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CEMEXCPO","CEMEX CPO","Equity","6.74","13.89","326,184,525.00","4,530,703,052.25","4,530,703,052.25","Materiales","2406457","MXP225611567","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"TLEVISACPO","GRUPO TELEVISA","Equity","6.04","74.19","54,735,750.00","4,060,845,292.50","4,060,845,292.50","Consumo discrecional","2380108","MXP4987V1378","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALFAA","ALFA A","Equity","2.93","25.36","77,792,340.00","1,972,813,742.40","1,972,813,742.40","Industriales","2043423","MXP000511016","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GAPB","GRUPO AEROPORTUARIO DEL PACIFICO O","Equity","2.29","176.12","8,730,690.00","1,537,649,122.80","1,537,649,122.80","Industriales","B0ZV104","MX01GA000004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ASURB","GRUPO AEROPORTUARIO DEL SURESTE B","Equity","2.26","331.59","4,581,585.00","1,519,207,770.15","1,519,207,770.15","Industriales","2639349","MXP001661018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MEXCHEM*","MEXICHEM SA DE CV","Equity","2.21","65.25","22,799,805.00","1,487,687,276.25","1,487,687,276.25","Materiales","2434760","MX01ME050007","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KOFL","COCA-COLA FEMSA CLASS L","Equity","2.00","116.70","11,528,295.00","1,345,352,026.50","1,345,352,026.50","Productos básicos de consumo","2141899","MXP2861W1067","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","1.79","31.42","38,328,540.00","1,204,282,726.80","1,204,282,726.80","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GRUMAB","GRUMA","Equity","1.67","241.24","4,649,160.00","1,121,563,358.40","1,121,563,358.40","Productos básicos de consumo","2392545","MXP4948K1056","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GFINBURO","GRUPO FINANCIERO INBURSA SRIES O O","Equity","1.65","30.70","36,044,505.00","1,106,566,303.50","1,106,566,303.50","Financieros","2822398","MXP370641013","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"AC*","ARCA CONTINENTAL","Equity","1.62","123.72","8,784,750.00","1,086,849,270.00","1,086,849,270.00","Productos básicos de consumo","2823885","MX01AC100006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"KIMBERA","KIMBERLY-CLARK DE MEXICO CLASS A","Equity","1.61","34.30","31,571,040.00","1,082,886,672.00","1,082,886,672.00","Productos básicos de consumo","2491914","MXP606941179","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"IENOVA*","INFRAESTRUCTURA ENERGETICA NOVA","Equity","1.60","91.06","11,798,595.00","1,074,380,060.70","1,074,380,060.70","Servicios","B84XBP2","MX01IE060002","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BIMBOA","GRUPO BIMBO A","Equity","1.57","39.66","26,584,005.00","1,054,321,638.30","1,054,321,638.30","Productos básicos de consumo","2392471","MXP495211262","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ELEKTRA*","GRUPO ELEKTRA","Equity","1.41","686.66","1,378,530.00","946,581,409.80","946,581,409.80","Financieros","2967084","MX01EL000003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PINFRA*","PROMOTORA Y OPERADORA DE INFRAESTR","Equity","1.38","193.05","4,811,340.00","928,829,187.00","928,829,187.00","Industriales","2393388","MX01PI000005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"OMAB","GRUPO AEROPORTUARIO DEL CENTRO NOR","Equity","1.19","113.37","7,081,860.00","802,870,468.20","802,870,468.20","Industriales","B1KFX13","MX01OM000018","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","1.01","77.51","8,784,750.00","680,905,972.50","680,905,972.50","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"PE&OLES*","INDUST PENOLES","Equity","0.93","316.01","1,973,190.00","623,547,771.90","623,547,771.90","Materiales","2448200","MXP554091415","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
